"cycle","Q_dch_3p8_3p4","SoH"
"0","0.9875663389057768","0.9671984390343619"
"1","1.021313879297005","1.0"
"2","1.006215319060462","0.9816744774409385"
"3","0.9790313674888198","0.9625379821245411"
"4","1.0015094401477835","0.984388506330064"
"5","0.9902593555276852","0.9734543443854099"
"6","0.956507784190924","0.9515846923342566"
"7","0.9677631161948537","0.9625202771548068"
"8","0.9677495433778192","0.9515729695813528"
"9","0.9676874812954985","0.9515141181745337"
"10","0.9564813434831901","0.9515525638856918"
"11","0.9902595515216752","0.9625115934461251"
"12","0.9677404614534074","0.9625026707634513"
"13","0.967713872426086","0.9406019765446642"
"14","0.9564534385911085","0.940594815047508"
"15","0.9565009211422876","0.9406387583780292"
"16","0.9452208095178422","0.9406139394377999"
"17","0.9789900354712477","0.9625000148574223"
"18","0.9677322351477212","0.9515583544290087"
"19","0.9339879823419162","0.9296928733758993"
"20","0.9451986634087128","0.9296546198343069"
"21","0.9451910946458681","0.9296472646530833"
"22","0.9452056678286236","0.9296693257671615"
"23","0.9564541948674661","0.9296577588674954"
"24","0.9564685735468649","0.9406152163309253"
"25","0.9677206823426402","0.951542160269488"
"26","0.9564602540236794","0.9406063999637705"
"27","0.9564553128622679","0.9515329452459785"
"28","0.9564239200220133","0.9405725475947481"
"29","0.956449653815685","0.9405975596532757"
"30","0.9564606123841886","0.9405975596532752"
"31","0.9564855851377878","0.9406310221547226"
"32","0.9564420850528405","0.9405773539518903"
"33","0.9452137997523985","0.9406078628812058"
"34","0.9452190990683933","0.9406137559109193"
"35","0.945197150050145","0.9405887315975864"
"36","0.9452092592826941","0.9406034634059434"
"37","0.945176352278019","0.9405600792461954"
"38","0.9452262726555475","0.9406063959334844"
"39","0.9339442824080794","0.9077906122561319"
"40","0.933932931815895","0.9187102176631698"
"41","0.9339552407706571","0.9187091080138443"
"42","0.9339102257332869","0.9186767516967017"
"43","0.9338996334053162","0.9186877454382772"
"44","0.9564212794012079","0.9296485438439845"
"45","0.9114120621575663","0.8968302034826383"
"46","0.9226940510349555","0.9187076481580976"
"47","0.9339177927136835","0.907752749475777"
"48","0.9339427493823071","0.9077542240837592"
"49","0.9339102288852963","0.9186752780563099"
"50","0.9226705947746006","0.918681175681575"
"51","0.9451665103342384","0.929642659439104"
"52","0.9452981965637042","0.9297691872447288"
"53","0.9564518254065963","0.9515270034141408"
"54","0.9789329749508437","0.9624460003659923"
"55","0.9677093296819496","0.9515346194459103"
"56","0.9564668625064789","0.9515390319507054"
"57","0.9452017874715642","0.9405947156074635"
"58","0.9564603434805758","0.9296637340687285"
"59","0.956434613644637","0.9296387220278017"
"60","0.9339101238211152","0.9077452885460611"
"61","0.945206330117071","0.94060060117808"
"62","0.9452025461296499","0.9405961879161603"
"63","0.9339261155953217","0.9077600969992566"
"64","0.9338867613864649","0.918658902867338"
"65","0.9339109813246048","0.9186765589787169"
"66","0.9226546932806053","0.9186793097118866"
"67","0.9226336990175251","0.9077203747784385"
"68","0.922651106966142","0.9186780301211747"
"69","0.9338875186567506","0.9077233174636684"
"70","0.9226554485630347","0.8967995016346787"
"71","0.9226425840480563","0.9077304814587577"
"72","0.922608362163624","0.9076957481558808"
"73","0.9226372859140651","0.9077189011380482"
"74","0.9338860049041816","0.9077317554878356"
"75","0.9226618999310044","0.9186855787858059"
"76","0.9226244209872352","0.9077071395882339"
"77","0.9338905433860297","0.9077262536211828"
"78","0.9226668021191532","0.9077582488460082"
"79","0.922657358467372","0.9186797031717168"
"80","0.9226607469029517","0.9186851948816875"
"81","0.9226232998404238","0.9077247748199738"
"82","0.9226592339383852","0.9077424416543074"
"83","0.9226440989826289","0.9077247895722085"
"84","0.9113969228504639","0.9077398865011581"
"85","0.9226425836540552","0.907724788040358"
"86","0.9226316240916236","0.9077218351984456"
"87","0.9113935039394224","0.9077336115004955"
"88","0.9113806382245901","0.9077189057336005"
"89","0.9114252899675113","0.9077630471435839"
"90","0.9001765703953182","0.8749461813882079"
"91","0.8888972140533021","0.8858653916029052"
"92","0.9001334290470308","0.8858477242033055"
"93","0.9001307929477965","0.8858308293734545"
"94","0.90014929872986","0.896804257836158"
"95","0.9113917657911791","0.896795607627972"
"96","0.9226314022659143","0.9077181426129456"
"97","0.9226614557870199","0.9077466184223125"
"98","0.9114022881500811","0.9077406860212449"
"99","0.900147053805154","0.8968022527681628"
"100","0.9002918105055061","0.8969451626387377"
"101","0.9115363491595619","0.8969346701394862"
"102","0.9002938852433322","0.886012329900402"
"103","0.9340379378735088","0.9078717293837041"
"104","0.9115626458994424","0.8969624369609666"
"105","0.9228123180687221","0.8969584045394653"
"106","0.9003279420883499","0.8751017594009515"
"107","0.9002789440205218","0.8859948638262699"
