"cycle","Q_dch_window","energy_efficiency","SoH"
"0","1.0","1.0","0.9669641818181817"
"1","0.999866183763927","1.0008809559876222","0.967942"
"2","0.999875294137317","1.0009507343168176","0.9687438181818182"
"3","1.0078664798105614","1.002001460723404","0.9692884545454544"
"4","0.999964025697562","1.0020678542413934","0.9696151818181816"
"5","0.9999892059404096","1.0017009417958322","0.9699767272727273"
"6","1.0076632580056109","1.0025370068739337","0.97017"
"7","1.0077945827056392","1.0026178262427399","0.9704984545454544"
"8","1.0077134214720083","1.0032156971170387","0.9706541818181817"
"9","1.0076721525179733","1.0028496354125895","0.9708502727272726"
"10","1.0076434119518958","1.0030977012733593","0.9709221818181818"
"11","1.0078846849740346","1.0032842488248463","0.9709030909090908"
"12","1.0074955470328861","1.0026725914491499","0.9710413636363635"
"13","1.0076882141898522","1.0024762133636596","0.9710524545454544"
"14","0.9993901025129112","1.0036905339145938","0.9712316363636363"
"15","0.9998121713073881","1.0028579374288724","0.9712774545454544"
"16","0.9997623860654933","1.0035393358724267","0.9712696363636363"
"17","1.0074521359544555","1.0050332819451946","0.9712970909090908"
"18","1.007448285000202","1.0042909186915017","0.9713231818181818"
"19","1.0077231638179116","1.0038299126001196","0.9712639090909089"
"20","1.0078416128441545","1.0039135716510672","0.971371909090909"
"21","1.007731759758009","1.0034101590668691","0.971402909090909"
"22","1.007601679411329","1.0040251202597257","0.9713817272727273"
"23","0.9998215369265102","1.0032410509606005","0.9713160909090908"
"24","0.9996673630407353","1.0025079525644682","0.9713873636363635"
"25","1.0000540678936134","1.003625776829471","0.9713307272727272"
"26","1.007727056568555","1.0024592712275537","0.9713054545454544"
"27","0.9996262584825434","1.002759358604147","0.9712106363636364"
"28","1.0076880187972017","1.0034417866940963","0.9710863636363636"
"29","0.9996943798096902","1.0026669710599136","0.9713568181818182"
"30","1.0000398059978144","1.0029383509495333","0.9714574545454545"
"31","0.9998030143464867","1.0030889534383305","0.9714326363636362"
"32","0.9997223041571718","1.0024320178865513","0.9714538181818181"
"33","0.9997648328007663","1.0032825907386045","0.9715585454545453"
"34","0.9997135978353752","1.0030097016711528","0.9714119999999999"
"35","1.0077846159327057","1.0016443705364984","0.9715022727272726"
"36","1.0000463794972585","1.0016499346243632","0.9715106363636363"
"37","0.9997565067500932","1.0013610315400965","0.9713891818181817"
"38","1.000034217925703","1.002219727309912","0.9713261818181816"
"39","0.9997804275298053","1.002541164284955","0.9714449090909091"
"40","0.9921848195685518","1.001829745232131","0.9714419090909091"
"41","0.9999902314430823","1.0022354601533163","0.9714149090909091"
"42","0.999971263458521","1.0014755926885506","0.9713495454545454"
"43","0.9999437308391201","1.0027387168962276","0.9713136363636363"
"44","0.9998865817557646","1.0018856884517124","0.9713209999999999"
"45","1.0004332042843755","1.0015159630850772","0.9713945454545455"
"46","0.9922446877296909","1.0027587857754752","0.9714372727272726"
"47","0.9920522824961395","1.0028561842134183","0.9714630909090908"
"48","1.0001626500867686","1.001855067430347","0.9714882727272726"
"49","1.00020297081788","1.0021468777431608","0.9714260909090907"
"50","1.0004869904949647","1.0024491535297262","0.9714579999999999"
"51","1.000118565113787","1.0017031387043627","0.9713842727272726"
"52","1.0002250733281444","1.001314607279207","0.9714393636363635"
"53","0.9925153288366275","1.002175554423143","0.9714214545454545"
"54","1.0002083356177534","1.0028243248520978","0.971372"
"55","1.0002276509715535","1.0017798845968695","0.9713204545454545"
"56","1.0002930644223325","1.0027349813185291","0.971279"
"57","1.0003449912161115","1.0008596184343723","0.971354818181818"
"58","0.992906424629732","1.0010599727893157","0.9713425454545453"
"59","0.9927404078115043","1.001049270963832","0.9713001818181818"
"60","0.9928378515497894","1.0009018134287069","0.9712334545454545"
"61","0.9927886028325369","1.0008809490659798","0.9712235454545454"
"62","0.9930718411141215","1.000545341883942","0.9712189090909091"
"63","0.9927853524734386","0.9999442085594105","0.9712474545454545"
"64","0.9925667976223675","1.0013864806486157","0.9711297272727273"
"65","0.9924670355234916","1.0004254066347078","0.9710640909090907"
"66","0.9926914377104044","1.0009592549811464","0.9709650909090909"
"67","0.9847377383065611","1.0008801260992768","0.9709499090909091"
"68","0.9928016012731466","1.000804575532891","0.9709387272727272"
"69","0.9847163060777432","0.9987326127815412","0.9708017272727272"
"70","0.9847213089533228","0.9987442451623648","0.9706898181818181"
"71","0.9925952624581333","1.0000690954801255","0.9708194545454545"
"72","0.984677494833759","1.0007067376110592","0.9706956363636362"
"73","0.9923318061482499","1.000628458769794","0.9705760909090908"
"74","0.9847522840023045","1.0006828517137372","0.9709017272727272"
"75","0.9849252423531155","1.0009867733827849","0.9706812727272727"
"76","0.9845206335138639","0.9994175892185948","0.9706319090909089"
"77","0.9844395893722312","1.0008088797770633","0.9707505454545453"
"78","0.9844287466803101","0.9995864344107623","0.9705815454545453"
"79","0.9844289422311009","0.9999647122083749","0.9706484545454546"
"80","0.9846196114389066","1.000619112219672","0.970645818181818"
"81","0.9921287764599906","0.9999113236313443","0.9705944545454545"
"82","0.9844151388260644","0.9996453796476148","0.9705747272727272"
"83","0.9844010019195978","0.9999716731509749","0.9705594545454544"
"84","0.9844387477576637","1.0004378124294546","0.9706000909090907"
"85","0.9844814638573168","1.0008711970554889","0.9706612727272728"
"86","0.9923040206792387","1.0003549822576516","0.9706837272727272"
"87","0.9841941732767269","0.9999043481158837","0.9706047272727272"
"88","0.9842596332263805","0.9996751853395892","0.9705924545454545"
"89","0.9843188324649724","0.9997507147225346","0.9704343636363636"
"90","0.9840708385048211","0.9997219591870858","0.9703343636363635"
"91","0.9843915512178004","1.00003104798786","0.9703466363636364"
"92","0.9842256973195561","1.000299666445221","0.9703136363636363"
"93","0.9841967381673448","1.0002783741850712","0.9702561818181817"
"94","0.9842886887783023","1.0006781586656053","0.970302909090909"
"95","0.9765818890993719","0.9984670933373037","0.9701508181818181"
"96","0.9763142769962926","0.9987614853382132","0.9701850909090909"
"97","0.9764282046029249","0.9982654888240179","0.9701397272727271"
"98","0.9762787690689959","0.9991881047828911","0.9701139090909091"
"99","0.9846217761866778","0.9985387759759848","0.9700236363636363"
"100","0.9763378487534877","0.9988646815682449","0.9700039090909091"
"101","0.9843902379990468","0.9995186654145055","0.9699369999999998"
"102","0.9763523071095513","0.9991142908965828","0.969987818181818"
"103","0.976374877945153","0.9990992026794303","0.9699065454545455"
"104","0.9764833073368061","0.9988762721741575","0.9698618181818182"
"105","0.9763056779509953","0.9986602176223931","0.9698233636363636"
"106","0.9842213540443512","0.9993829344784868","0.969835909090909"
"107","0.9764426733587496","1.0003848147330348","0.9699405454545453"
"108","0.9843326852655078","0.9999645632718555","0.9698800909090908"
"109","0.9761079048041998","0.9996360823643232","0.9698730909090908"
"110","0.9845943456874554","1.0002348463661583","0.9698226363636362"
"111","0.9768325743664549","0.9991619602296948","0.9698447272727271"
"112","0.9846918606833204","1.000148388748775","0.9698966363636362"
"113","0.9848821441220612","1.0011261396680409","0.9698597272727272"
"114","0.9849859470455908","1.0005615679781263","0.9697803636363637"
"115","0.9850807980151578","1.0006846527704951","0.969752909090909"
"116","0.9847058787178342","1.0009053514929855","0.9697865454545455"
"117","0.9847450255718068","0.9999768807858719","0.9697260909090909"
"118","0.9848368120298826","1.0003261721000443","0.9698157272727271"
"119","0.9844410511039927","0.9987105461998981","0.9697082727272727"
"120","0.9846279615484885","0.9997035804950822","0.9695303636363636"
