"cycle","CCCT_3p8_4p0","IC_peak","SoH"
"1","3781.91318153899","6.246452954775866","1.0220467908115365"
"2","3781.86651570838","6.1604366780246425","1.0217891334223728"
"3","3751.8659057474","6.073625315290981","1.021464103325291"
"4","3631.83918103812","6.009556698534926","1.0155588827465998"
"5","3631.81230931051","5.863199199906097","1.0147631431346815"
"6","3631.83031384334","5.696188981266605","1.0081435834243364"
"7","3601.82273972554","5.576530401377688","0.9983173804215544"
"8","3571.7906562579","5.516644725619765","0.9962524427435272"
"9","3601.82169925737","5.469598686876009","0.9906114892847092"
"10","3571.80628941053","5.411489043355951","0.9886223994410364"
"11","3571.80570235238","5.367733253484946","0.9950686113970454"
"12","3571.79698649984","5.312502003711192","0.9961222147227728"
"13","3571.79928439686","5.25532171363704","0.9961473714632818"
"14","3601.8161182478","5.197696764319675","0.9959215630629272"
"15","3601.83260828102","5.152202573964402","0.9956953756383088"
"16","3571.81868736504","5.111160854424643","0.995187936373818"
"17","3601.83485182261","5.091986297245168","0.9948415497074816"
"18","3601.80491710107","5.085689953134499","0.9942737957772728"
"19","3601.83607819917","5.080148601583482","0.9937593170629272"
"20","3601.83627931034","5.06654616734818","0.9933051679023815"
"21","3601.82134672376","5.054648673012742","0.9898321561604272"
"22","3601.82170794406","5.040727632706725","0.9895538388340454"
"23","3601.80665166411","5.020341790141833","0.9892805347737637"
"24","3601.83933873535","5.002882504378902","0.9888435809941726"
"25","3601.83906855696","4.977402045249237","0.988444938083718"
"26","3601.83931133709","4.962091923112554","0.9816957021577728"
"27","3601.82361296692","4.939800450902189","0.9722271372077635"
"28","3541.76370570808","4.9250336236291705","0.9708136175343728"
"29","3541.77683197776","4.897344074323053","0.9654131278194636"
"30","3511.7764957791","4.878531481422205","0.9640348972555818"
"31","3511.77635322377","4.874860080654058","0.9720750888544456"
"32","3511.77585146331","4.864582570326794","0.977154701359"
"33","3541.79908324981","4.834564165593558","0.9722630640433636"
"34","3541.80139589856","4.7891662304094265","0.9631168781650636"
"35","3481.76217630971","4.772448123031944","0.9613893151736088"
"36","3451.74508276162","4.770862051164225","0.9570078856089544"
"37","3481.76016502204","4.766640295544551","0.9558320891341998"
"38","3481.75993243232","4.749578964745478","0.9642406206612454"
"39","3451.72887738293","4.745090892532037","0.9693620522365272"
"40","3511.75132765236","4.752917544089851","0.9698161839798544"
"41","3511.75282390153","4.734978404169868","0.9551924697249636"
"42","3451.74647409428","4.66413559215832","0.9546955672134816"
"43","3451.74460781295","4.654144068295388","0.9542174565685636"
"44","3451.72951552324","4.661864568255831","0.9531917295804544"
"45","3451.72922211716","4.680623639065246","0.9552568022205816"
"46","3451.74428727908","4.619627339767255","0.9620475675513546"
"47","3451.73470730287","4.602780125783783","0.9629086353285998"
"48","3481.73694061453","4.636002151832281","0.952795072984209"
"49","3391.68831687211","4.523384747231705","0.9482972761417726"
"50","3421.73027769709","4.444173774775776","0.9476219760978"
