"cycle","CCCT_3p8_4p0","IC_peak","SoH"
"1","3781.91329940775","6.402719740438022","1.030733282774609"
"2","3781.89775739728","6.274376659199344","1.030375882044009"
"3","3781.8657398497","6.167575001940907","1.0298441910796272"
"4","3661.83595413646","6.12017317902356","1.0245757020808817"
"5","3691.87460680657","6.009418698289332","1.0242833507254636"
"6","3661.86122574107","5.895459601146406","1.022055470528218"
"7","3631.83771858824","5.796554881238616","1.0136468333403543"
"8","3661.85185698124","5.713048904856692","1.0081514677955272"
"9","3631.83666765398","5.670480668865316","1.006898417604818"
"10","3631.83664288728","5.628125090272448","1.005247308177418"
"11","3631.82047996927","5.55506054887015","1.0075245084568818"
"12","3661.85872857236","5.487367212556771","1.0117565293230908"
"13","3631.84557237732","5.452354893353842","1.0118073230645728"
"14","3661.84664292621","5.420636815741716","1.0116337879510091"
"15","3631.84819764527","5.376491261070718","1.0113255061385091"
"16","3631.84956953447","5.354878064114726","1.0110820549144637"
"17","3661.83465313896","5.357075216573885","1.0109206371055908"
"18","3661.86697329574","5.350112473542431","1.007273124165609"
"19","3631.85156890246","5.296061735349176","1.006850045413218"
"20","3631.83626962194","5.247937434139905","1.006489201415209"
"21","3631.85244708121","5.220126204574475","1.0061384573774"
"22","3631.83728132347","5.236015426138314","1.0058882352641272"
"23","3631.85390248341","5.226754302007837","1.0057316885597365"
"24","3631.83903850289","5.214860021029251","1.0053056042884363"
"25","3631.82315385842","5.193962110883691","1.004961787312809"
"26","3631.83898161613","5.199589493246334","1.0046713300381451"
"27","3601.83921639551","5.176031843836008","0.9960952730800364"
"28","3571.79254413308","5.142391625231104","0.9900999117381454"
"29","3571.72973606601","5.125870842202142","0.9890080709332454"
"30","3571.80682635377","5.115582790124889","0.988309513196409"
"31","3541.79156062105","5.06628144482688","0.9872587966940544"
"32","3601.81119870179","5.079210981398523","0.994569015143418"
"33","3571.81566718779","5.091182651965344","0.9954249580413272"
"34","3571.8013100755","5.090292474195209","0.9870975255260546"
"35","3541.79129039758","5.032189604656447","0.9813121297091636"
"36","3541.79061963077","5.02050330142378","0.9810763800629092"
"37","3541.79037361271","4.994886269195792","0.9804173850389364"
"38","3511.75943034177","4.976756631895704","0.9806099965027908"
"39","3571.79588162613","4.962378099156414","0.9878372781836364"
"40","3571.78302406624","4.953068052847305","0.988251834097"
"41","3541.79959749639","4.963667418386","0.9798119930130637"
"42","3541.79044098051","4.966902341066046","0.9788916289194364"
"43","3541.72804585774","4.959953523350593","0.978611035906291"
"44","3541.79048287495","4.9345331758071485","0.9743858220071636"
"45","3511.77495299896","4.877647762797107","0.9737479562611272"
"46","3541.79471730359","4.883401499450132","0.9813571347633908"
"47","3541.79839686909","4.887766055408336","0.9820941087126908"
"48","3511.7527915209","4.885508768044176","0.9741192042845817"
"49","3481.76025623932","4.839265127317364","0.9734241997050364"
"50","3511.77526377351","4.838006248350521","0.972883807692709"
"51","3511.75967746763","4.836141188688411","0.9723773786648636"
"52","3481.75929549487","4.759184492936579","0.9715469119271726"
"53","3691.86751202419","5.003953359864132","1.004572067801218"
"54","3571.80483278015","5.218051895852923","0.9991754168525364"
"55","3601.8104437552","5.331789268870579","1.0045332437611634"
"56","3601.82861276798","5.206193339289746","1.0043324197826364"
"57","3511.7813477066","5.13183991957453","0.9966342131402818"
"58","3541.75904680664","5.068251609209691","0.9907668989411365"
"59","3541.79050645878","5.057602868795008","0.9896873591209908"
"60","3511.75887402024","5.125667476818123","0.9825100632251634"
"61","3511.74479920149","5.024488148584516","0.9873538511256"
"62","3541.79241707564","4.993375673723742","0.9825541647894362"
"63","3481.76075590471","4.955930104588821","0.9798908707470816"
"64","3481.74140672059","4.940220348160487","0.9750067669199272"
"65","3481.75565007442","4.912277756257381","0.9742225961539636"
"66","3481.75732557027","4.927918056234262","0.9736983439727908"
"67","3451.74212637339","4.912587142329256","0.9722066239514636"
"68","3481.72775743738","4.859232348021028","0.972825846056018"
"69","3481.75966916623","4.830970797630073","0.9725490459877636"
"70","3451.74427897334","4.804136815405029","0.966451648629818"
"71","3481.70994645694","4.779133540444797","0.9660678306764272"
"72","3451.7264620531","4.746965610949391","0.9657193395248908"
"73","3451.72659092929","4.741243454059533","0.9653344733078452"
"74","3451.72635623434","4.744915859935553","0.9645373173815636"
"75","3451.71286625321","4.720481433616403","0.9655929686367908"
"76","3451.74480603192","4.695362573894073","0.9652568731609272"
"77","3451.69785638398","4.693222541846696","0.9648869882220728"
"78","3451.71333566313","4.712502315637144","0.9646334474130908"
"79","3451.74441488203","4.682840288333928","0.9644173509850726"
"80","3451.72945011529","4.649841728494545","0.8576669641520744"
"81","3451.72987951547","4.644176434182062","0.8573196270494045"
"82","3451.71351316047","4.659382217987353","0.9636091063853"
"83","3421.69827106175","4.6395545497809145","0.9633018969503362"
"84","3421.72955002356","4.6219059688326","0.9630780297615452"
"85","3421.71091763087","4.620857265455522","0.9628652164100816"
"86","3421.72932323819","4.61462820708617","0.8550858495778281"
"87","3421.71366940921","4.602569913360929","0.9622079801974454"
"88","3421.71405340114","4.600623719459139","0.9623333736915726"
"89","3421.72965077467","4.592180576608897","0.9577289206271364"
"90","3391.69863164972","4.564716649014077","0.9573679117337272"
"91","3391.69868702261","4.560631899174355","0.9568222345436272"
"92","3391.69527826202","4.567673289357637","0.9498784461918092"
"93","3361.69560047925","4.535236247157893","0.9491994932168544"
"94","3361.67984721221","4.511433656186635","0.9486218068562908"
"95","3391.69502501579","4.479822681245897","0.9562981502717"
"96","3403.715685189386","4.501587590075086","0.9561820494439454"
"97","3421.73941334716","4.519835489008417","0.9558738782025998"
"98","3421.72460532405","4.549275351436412","0.962349213039618"
"99","3451.73976792763","4.5449275900908095","0.9628382310525908"
"100","3421.74477079517","4.565732672970951","0.9564784558357092"
"101","3421.74385650797","4.565795087344735","0.9551403802517272"
"102","3421.70877477357","4.562079354975943","0.9550974480607636"
"103","3421.74129800153","4.542744615735386","0.9549153161617636"
"104","3391.72551815221","4.5755821470707305","0.949646554180918"
"105","3391.70913168907","4.588730920230937","0.9566380821291728"
"106","3421.72955220725","4.5604638532667625","0.960931711654518"
"107","3421.73102072786","4.498474932714841","0.8562731897769654"
"108","3391.7101296201","4.49178207721242","0.9487941878721362"
"109","3391.70902254161","4.514133027530235","0.9487809341444452"
"110","3391.7245463164","4.478200948193173","0.9486688582531092"
"111","3361.70932568292","4.460588364947734","0.947476781752109"
"112","3361.70890990013","4.476656753746552","0.9489433258822454"
"113","3391.72868854098","4.504255777781304","0.9550534609779272"
"114","3391.69869164915","4.479624731258493","0.8541627457221399"
"115","3361.71477155166","4.47003669606702","0.9471103434761726"
"116","3361.70897089733","4.472752193434747","0.946601562941718"
"117","3361.69334255164","4.467663963196599","0.9466532802396728"
"118","3361.70923732238","4.472509776002221","0.9417282102781908"
"119","3361.70895487739","4.459443431283048","0.9407616743848544"
"120","3421.72650603851","4.453501916793005","0.9487603984317818"
"121","3391.72897878551","4.4190888898216985","0.952883365482209"
"122","3391.72977882751","4.478219107462774","0.9539860586976364"
