"cycle","CCCT_V_main","SoH"
"0","567.6314824842875","1.0"
"100","560.4208593707581","0.9888449969665423"
"200","554.3583577997106","0.9827687821520125"
"300","549.4439777711452","0.9787657281283766"
"400","546.9746929157717","0.9724603484974377"
"500","544.0823658886518","0.9677508461666642"
"600","540.8010631790673","0.9635864661312896"
"700","537.6346920014788","0.9600336768008568"
"800","534.2799670935162","0.9552151812259378"
"900","530.7929777492611","0.9516017182327118"
"1000","527.122372863642","0.9480753594217672"
"1100","523.6676301301271","0.9444296156362759"
"1200","520.4399487832236","0.9406413624095582"
"1300","515.9523351125555","0.9366694077964659"
"1400","510.1049492606527","0.9328105298938839"
"1600","503.26365735499127","0.9247325574445662"
"1800","496.0713724313918","0.9172401327048375"
"1900","490.03281523048963","0.9126734809087659"
"2000","485.30946610313","0.9081863860489503"
"2100","481.89098164205967","0.9053054136303469"
"2200","477.87240307963316","0.9002807104413723"
"2300","474.8651626854728","0.89784288511742"
"2400","470.10081227659714","0.8931279975651787"
"2500","466.27428770460205","0.890899848472318"
"2600","463.1820895123984","0.8851014783484051"
"2700","458.56222849854606","0.884116147833806"
"2800","454.0950802335373","0.8806698616990649"
"2900","451.97935139629436","0.8738680613352823"
"3000","447.0190575137028","0.8732835066906316"
"3100","444.38111657163427","0.869595438303303"
"3200","441.4953247877743","0.8641180810185847"
"3300","436.76428378025514","0.8630814560163735"
"3500","434.09892451627184","0.8542306431987776"
"3600","431.0950191061149","0.8547956759563882"
"3700","427.0616262287189","0.8520948857723898"
"3800","425.7489706002732","0.8453215584586745"
"3900","422.16517434459007","0.8457360547758919"
"4000","419.4612854928697","0.84308977279618"
"4100","417.8419196112137","0.8376689201961625"
"4200","415.5845706662718","0.8367804142076015"
"4300","412.455364657287","0.8340793780956167"
"4400","411.2675682196818","0.8313786571579407"
"4500","411.3214522540909","0.8264381885374986"
"4600","405.84187635551336","0.8260077218214709"
"4800","390.2619845376116","0.8210040216574294"
"5100","374.9218791058097","0.7864779964744758"
"5200","364.69782013776853","0.7831591564205339"
"5300","355.2372134421778","0.790506101389353"
"5400","355.99781621544207","0.7907063506206141"
"5500","358.80467865249017","0.7838002564711533"
"5600","354.8798002592548","0.7877724861181763"
"5700","355.10602930628363","0.7866416147796087"
"5800","361.2345285059983","0.7829059691267659"
"5900","353.48000743809996","0.7820601667163337"
"6000","349.2463498289683","0.779784332631335"
"6100","350.5899410176868","0.7722497286125048"
"6200","342.2974610290159","0.776348448709899"
"6300","339.16595129002883","0.7740696076025702"
"6400","342.2966627651662","0.7658011134834639"
"6500","335.00530079658597","0.7699776406616741"
"6600","333.5166947710842","0.7673124073631341"
"6700","339.6776896317208","0.7640432571639407"
"6800","330.96893550836955","0.7675400824561465"
"6900","323.95126088065877","0.7649880784796779"
"7000","321.8707686550855","0.7569373495320741"
"7100","318.1087952499853","0.757104409148665"
"7200","322.11148150921906","0.7578567670102214"
"7300","335.179899213285","0.7581685365463311"
"7500","332.54306161137816","0.7651322683644545"
"7600","323.08787370447817","0.7602308785445441"
"7700","306.81433549258486","0.7415632912559396"
