"cycle","CCCT_V_main","SoH"
"0","570.0052190798933","1.0"
"100","563.3321732073545","0.9879341903869114"
"200","557.5344509593882","0.9819185685326266"
"300","552.6120523359947","0.9779901456267633"
"400","549.4195841980425","0.971933813142211"
"500","546.15503533487","0.9673496633874816"
"600","542.5857682924366","0.9628059674337693"
"700","539.2253967450768","0.9599805615275302"
"800","535.6463034557953","0.9549960513654362"
"900","531.6987313276207","0.9505271222934891"
"1000","527.5089486734962","0.9462932123200191"
"1100","523.7971731951877","0.9420556121867814"
"1200","520.2541432841244","0.937974620150327"
"1300","515.8608399109364","0.9340530286945622"
"1400","509.64055959556487","0.9303329460978877"
"1600","502.26569345772987","0.9224952521039799"
"1800","494.24120826758616","0.9144596673802963"
"1900","487.7522506042893","0.9102061226159709"
"2000","482.55373837133436","0.9061316498413767"
"2100","478.9840552139366","0.9030017875869771"
"2200","474.4867121742028","0.8983125553947697"
"2300","471.10118093879976","0.8949125087814178"
"2400","465.8826264493882","0.8905732968994196"
"2500","461.7930687961299","0.8879613973915149"
"2600","458.8652100221537","0.8831976725985073"
"2700","454.54408221705023","0.8811590400633876"
"2800","450.1656877111075","0.877879197869749"
"2900","447.8108759378255","0.872699646802078"
"3000","442.3961594519912","0.8715457536980751"
"3100","439.4513411761044","0.868731798517498"
"3200","436.73825404957256","0.8642450072242399"
"3300","432.12293210665","0.8629547013652373"
"3500","429.5044497491622","0.8553560770889814"
"3600","426.7228031929435","0.8547357104324371"
"3700","422.7620065406469","0.8517263992010135"
"3800","421.37247200667684","0.8462746240219762"
"3900","417.75817401328567","0.8459600460643809"
"4000","414.9929538025303","0.8436530255309312"
"4100","413.0065203427623","0.8394916520881424"
"4200","410.8189369175787","0.8381944392978427"
"4300","407.69482051240175","0.8356091274637388"
"4400","405.52479445690363","0.83306330358696"
"4500","403.4185103564726","0.8290290743605105"
"4600","399.4885761147419","0.82849487700356"
"4800","396.2458232206681","0.8237963037635181"
"5000","392.4031785797592","0.8175862687561571"
"5100","388.24201462601275","0.81612510264391"
"5200","386.93164313790726","0.8115478796870128"
"5300","384.9198155125205","0.8115996346341947"
"5400","381.876326335871","0.8092949035875884"
"5500","380.41118522743534","0.8040473107856493"
"5600","377.3347603894955","0.8043008913509206"
"5700","376.1145071152274","0.8021222991198486"
"5800","376.908498831709","0.7988318806009727"
"5900","373.40295887793883","0.7975083272562412"
"6000","370.92942921473184","0.7957091281373936"
"6100","370.1606478094601","0.792249650833357"
"6200","366.79638710649306","0.7925013185026814"
"6300","364.63144139053543","0.7903439313034646"
"6400","364.5807182975336","0.7864526763105241"
"6500","360.6425786701824","0.7869654766759802"
"6600","357.5184396579855","0.7847718420047651"
"6700","356.91447273304743","0.7815252944168616"
"6800","352.3454531442384","0.7814651034832552"
"6900","347.6648903098832","0.7798785735508863"
"7000","345.9493975806217","0.7753883248459466"
"7100","343.74578783095654","0.7753883248459466"
"7200","344.17453899168095","0.777923109519732"
"7300","344.44355777084786","0.773953607918759"
"7400","342.97979951629867","0.7717875186682972"
"7500","341.78731093466934","0.7688532848321806"
"7600","338.9921289168136","0.7682106895603251"
"7700","337.2185287228094","0.7668040273467023"
"7800","338.0030230955351","0.7633855168204101"
"7900","333.2474577628026","0.7635088069920541"
"8000","330.9903415904776","0.7617888445406081"
"8100","329.08345611331447","0.757685458226604"
"8200","327.52680133131304","0.75854593254061"
